testDate,County,confirmed_cases,values.CasesChange,tested,values.TotalTestedChange,deaths,values.DeathsChange,population,daily_confirmed_cases,daily_tested,daily_deaths
2020-03-17T00:00:00Z,Illinois,160,160,0,0,0,0,12587.53,NA,NA,NA
2020-03-18T00:00:00Z,Illinois,288,128,0,0,1,1,12587.53,128,0,1
2020-03-19T00:00:00Z,Illinois,422,134,0,0,3,2,12587.53,134,0,2
2020-03-20T00:00:00Z,Illinois,585,163,4286,4286,5,2,12587.53,163,4286,2
2020-03-21T00:00:00Z,Illinois,753,168,6247,1961,6,1,12587.53,168,1961,1
2020-03-22T00:00:00Z,Illinois,1049,296,8374,2127,9,3,12587.53,296,2127,3
2020-03-24T00:00:00Z,Illinois,1535,486,11485,3111,16,7,12587.53,486,3111,7
2020-03-25T00:00:00Z,Illinois,1865,330,14209,2724,19,3,12587.53,330,2724,3
2020-03-26T00:00:00Z,Illinois,2538,673,16631,2422,26,7,12587.53,673,2422,7
2020-03-27T00:00:00Z,Illinois,3026,488,21542,4911,34,8,12587.53,488,4911,8
2020-03-28T00:00:00Z,Illinois,3491,465,25429,3887,47,13,12587.53,465,3887,13
2020-03-29T00:00:00Z,Illinois,4596,1105,27762,2333,65,18,12587.53,1105,2333,18
2020-03-30T00:00:00Z,Illinois,5056,460,30446,2684,72,7,12587.53,460,2684,7
2020-03-31T00:00:00Z,Illinois,5994,938,35225,4779,98,26,12587.53,938,4779,26
2020-04-01T00:00:00Z,Illinois,6980,986,40384,5159,141,43,12587.53,986,5159,43
2020-04-02T00:00:00Z,Illinois,7695,715,43656,3272,157,16,12587.53,715,3272,16
2020-04-03T00:00:00Z,Illinois,8904,1209,48048,4392,210,53,12587.53,1209,4392,53
2020-04-04T00:00:00Z,Illinois,10357,1453,53581,5533,243,33,12587.53,1453,5533,33
2020-04-05T00:00:00Z,Illinois,11256,899,58983,5402,274,31,12587.53,899,5402,31
2020-04-06T00:00:00Z,Illinois,12262,1006,62942,3959,307,33,12587.53,1006,3959,33
2020-04-07T00:00:00Z,Illinois,13549,1287,68732,5790,380,73,12587.53,1287,5790,73
2020-04-08T00:00:00Z,Illinois,15078,1529,75066,6334,462,82,12587.53,1529,6334,82
2020-04-09T00:00:00Z,Illinois,16422,1344,80857,5791,528,66,12587.53,1344,5791,66
2020-04-10T00:00:00Z,Illinois,17887,1465,87527,6670,596,68,12587.53,1465,6670,68
2020-04-11T00:00:00Z,Illinois,19180,1293,92779,5252,677,81,12587.53,1293,5252,81
2020-04-11T00:00:00Z,Illinois,19180,0,92779,0,677,0,12587.53,0,0,0
2020-04-12T00:00:00Z,Illinois,20852,1672,100735,7956,720,43,12587.53,1672,7956,43
2020-04-13T00:00:00Z,Illinois,22025,1173,105768,5033,794,74,12587.53,1173,5033,74
2020-04-14T00:00:00Z,Illinois,23247,1222,110616,4848,868,74,12587.53,1222,4848,74
2020-04-15T00:00:00Z,Illinois,24593,1346,116929,6313,948,80,12587.53,1346,6313,80
