testDate,total_tested,confirmed_cases,deaths,tested_change,cases_change,deaths_change,daily_total_tested,daily_confirmed_cases,daily_deaths
2020-03-10T00:00:00Z,326,20,0,326,20,0,NA,NA,NA
2020-03-11T00:00:00Z,367,25,0,41,5,0,41,5,0
2020-03-12T00:00:00Z,418,32,0,51,7,0,51,7,0
2020-03-13T00:00:00Z,444,46,0,26,14,0,26,14,0
2020-03-14T00:00:00Z,708,64,0,264,18,0,264,18,0
2020-03-15T00:00:00Z,932,93,0,224,29,0,224,29,0
2020-03-16T00:00:00Z,1143,105,0,211,12,0,211,12,0
2020-03-17T00:00:00Z,1500,160,1,357,55,1,357,55,1
2020-03-18T00:00:00Z,2052,288,3,552,128,2,552,128,2
2020-03-19T00:00:00Z,3151,422,4,1099,134,1,1099,134,1
2020-03-20T00:00:00Z,4286,585,5,1135,163,1,1135,163,1
2020-03-21T00:00:00Z,6247,753,6,1961,168,1,1961,168,1
2020-03-22T00:00:00Z,8374,1046,9,2127,293,3,2127,293,3
2020-03-23T00:00:00Z,9868,1283,12,1494,237,3,1494,237,3
2020-03-24T00:00:00Z,11485,1535,16,1617,252,4,1617,252,4
2020-03-25T00:00:00Z,14209,1865,19,2724,330,3,2724,330,3
2020-03-26T00:00:00Z,16631,2538,26,2422,673,7,2422,673,7
2020-03-27T00:00:00Z,21542,3026,34,4911,488,8,4911,488,8
2020-03-28T00:00:00Z,25429,3491,47,3887,465,13,3887,465,13
2020-03-29T00:00:00Z,27762,4596,65,2333,1105,18,2333,1105,18
2020-03-30T00:00:00Z,30446,5056,72,2684,460,7,2684,460,7
2020-03-31T00:00:00Z,35225,5994,99,4779,938,27,4779,938,27
2020-04-01T00:00:00Z,40384,6980,141,5159,986,42,5159,986,42
2020-04-02T00:00:00Z,43656,7695,157,3272,715,16,3272,715,16
2020-04-03T00:00:00Z,48048,8904,210,4392,1209,53,4392,1209,53
2020-04-04T00:00:00Z,53581,10357,243,5533,1453,33,5533,1453,33
2020-04-05T00:00:00Z,58983,11256,274,5402,899,31,5402,899,31
2020-04-06T00:00:00Z,62942,12262,307,3959,1006,33,3959,1006,33
2020-04-07T00:00:00Z,68732,13549,380,5790,1287,73,5790,1287,73
2020-04-08T00:00:00Z,75066,15078,462,6334,1529,82,6334,1529,82
2020-04-09T00:00:00Z,80857,16422,528,5791,1344,66,5791,1344,66
2020-04-10T00:00:00Z,87527,17887,596,6670,1465,68,6670,1465,68
2020-04-11T00:00:00Z,92779,19180,677,5252,1293,81,5252,1293,81
2020-04-12T00:00:00Z,100735,20852,720,7956,1672,43,7956,1672,43
2020-04-13T00:00:00Z,105768,22025,794,5033,1173,74,5033,1173,74
2020-04-14T00:00:00Z,110616,23247,868,4848,1222,74,4848,1222,74
2020-04-15T00:00:00Z,116929,24593,948,6313,1346,80,6313,1346,80
2020-04-16T00:00:00Z,122589,25733,1072,5660,1140,124,5660,1140,124
2020-04-17T00:00:00Z,130163,27575,1134,7574,1842,62,7574,1842,62
2020-04-18T00:00:00Z,137404,29160,1259,7241,1585,125,7241,1585,125
2020-04-19T00:00:00Z,143318,30357,1290,5914,1197,31,5914,1197,31
2020-04-20T00:00:00Z,148358,31508,1349,5040,1151,59,5040,1151,59
